title,url,source,published_at,snippet,link_verified,fetch_timestamp
"엔비디아 H200 중국 수출 시작…美 ""아직 극소량""",http://www.inews24.com/view/1985641,Inews24.com,2026-07-15T01:07:38Z,"상무부 차관, 하원 청문회서 대중 출하 사실 확인
ZTE 계열사 등 中 기업 3곳 구매 승인 추가 미국 정부가 엔비디아의 인공지능(AI) 가속기 H200에 대한 중국 수출을 허용한 가운데 실제 출하가 시작된 것으로 확인됐다. 15일 로이터에 따르면 제프리 케슬러 미국 상무부 산업안보 담당 차관은 14일(현지시간) 하원 외교위원회 청문회에서 &ldquo;현재까지 중국에 수출된 H200 물량은 최소한에 그친다&rdquo;고 밝혔다.",True,2026-07-16T01:09:04.271353
"갤럭시북5 프로360 신규 제품 소개, 고사양 노트북이 필요한 순간",https://chunchu.tistory.com/2726,Tistory.com,2026-07-15T01:00:00Z,"네이버 브랜트 커넥트 협찬 포스팅입니다.


저는 프리랜서로 일을 하다 보니 노트북을 단순한 휴대용 컴퓨터로만 보지 않습니다. 원고를 쓰고, 사진을 정리하고, 자료를 찾고, 외부에서 바로 수정까지 해야 해서 한 대의 장비가 맡는 역할이 꽤 많습니다.
그래서 신규 노트북을 볼 때도 먼저 보는 기준이 있습니다. 성능이 충분한지, 화면을 오래 봐도 부담이 적은지, 외부 작업에서 배터리가 버텨주는지, 그리고 작업 방식이 실제로 편해지는지를 함께 봅니다.
갤럭시북5 프…",True,2026-07-16T01:09:04.271366
AMD下代Zen 6 APU工程樣品性能曝光：頻率僅2GHz單核強提29%、多核大漲22%,https://www.techbang.com/posts/130998-amd-zen-6-apu-engineering-sample-performance-leak,Techbang.com,2026-07-15T01:00:00Z,"AMD次世代Zen 6架構Medusa Point跑分流出，低頻樣品單核效能即大漲29%。Zen 6不僅強化指令集優化AI運算，Medusa Point更透過極高每瓦效能，預計於202...AMD下一代採用Zen 6架構的「Medusa Point」行動端APU近日在Geekbench跑分資料庫中現身。即使該工程樣品的運行頻率被限制在低水平，其展現出的單核與多核性能表現仍大幅超越了現有的Ryzen AI 9 365處理器，預示著Zen 6架構在每瓦性能與IPC效率上的飛躍式提升。
多核拓撲展現驚人每瓦效能
根據知…",True,2026-07-16T01:09:04.271369
"SKT, AI로 난치성 암 치료 후보물질 발굴",http://www.inews24.com/view/1985617,Inews24.com,2026-07-15T00:48:14Z,SK바이오팜과 ROR1 표적 바인더 2종 확보&hellip;신약 개발 가능성 확인 SK텔레콤은 SK바이오팜과 공동 연구를 통해 난치성 암 표적 치료제 개발에 활용할 수 있는 초기 유효물질을 발굴했다고 15일 밝혔다. 양사는 암세포 표면 단백질인 'ROR1'에 결합할 수 있는 바인더 후보를 대량 생성&middot;선별했다. 이후 실험실 검증을 통해 이 가운데 2종이 초기 유효물질로 활용 가능성이 있다는 점을 확인했다.,True,2026-07-16T01:09:04.271374
tensor-grep 1.75.3,https://pypi.org/project/tensor-grep/1.75.3/,Pypi.org,2026-07-15T00:45:13Z,"High-performance grep-compatible CLI with Rust, GPU, and AST/NLP routing",True,2026-07-16T01:09:04.271376
ZOTAC RTX 5090 reportedly 'blew up' after playing Black Flag Resynced for five minutes,https://www.tweaktown.com/news/112626/zotac-rtx-5090-reportedly-blew-up-after-playing-black-flag-resynced-for-five-minutes/index.html,TweakTown,2026-07-15T00:45:06Z,"A ZOTAC RTX 5090 reportedly started crackling and emitting smoke minutes into Black Flag Resynced, and this time the power connector wasn't at fault.Continue reading at TweakTown",False,2026-07-16T01:09:04.271378
alakazam-mira-mini 0.1.1,https://pypi.org/project/alakazam-mira-mini/0.1.1/,Pypi.org,2026-07-15T00:38:17Z,"Play MIRA Mini — a neural world model of car soccer — locally on your own GPU (CUDA, Apple Silicon).",True,2026-07-16T01:09:04.271382
IBM issues profit warning as enterprise customers rush to buy AI hardware,https://cryptobriefing.com/ibm-profit-warning-hardware-ai-spending/,Crypto Briefing,2026-07-15T00:27:13Z,"IBM's profit warning highlights a shift in enterprise spending priorities, potentially reshaping tech investment strategies and market dynamics.
The post IBM issues profit warning as enterprise customers rush to buy AI hardware appeared first on Crypto Briefi…",True,2026-07-16T01:09:04.271385
Tens of Billions in Time Value of AI Data Centers – More SpaceX AI Deals in 2026,https://www.nextbigfuture.com/2026/07/tens-of-billions-in-time-value-of-ai-data-centers.html,Next Big Future,2026-07-15T00:21:52Z,"SpaceXAI has real-world proof of 6–12 month deployments for large clusters via warehouse retrofits, phased build-out, and on-site/mobile power. They have gas turbines from partners like Solar Turbines + APR Energy that can install in days to 6-12 weeks. Space…",True,2026-07-16T01:09:04.271387
"NIA, 현대제철 공장서 AI-RAN·피지컬 AI 첫 실증",http://www.inews24.com/view/1985589,Inews24.com,2026-07-15T00:14:32Z,"통신 장비부터 로봇까지 전 과정 국산 기술⋯산업 현장 AX 가속 한국지능정보사회진흥원(원장 김형철, NIA)은 과학기술정보통신부 공모 사업으로 AI-RAN과 피지컬 AI 서비스 통합 기술을 산업현장에 구축하는 현장 실증에 나선다고 15일 밝혔다. 이 사업은 5G 특화망(이음5G)을 기반으로 통신 인프라 자체에 고성능 GPU 기반 AI 연산 기능을 내재화한 AI-RAN과 피지컬 AI를 융합하는 국내 첫 현장 실증이다.",True,2026-07-16T01:09:04.271389
